word,pronunciation,meaning,example
Hello,/həˈləʊ/,Xin chào,Hello! How are you?
Vocabulary,/vəˈkæbjʊləri/,Từ vựng,You need to improve your vocabulary.
English,/ˈɪŋɡlɪʃ/,Tiếng Anh,I study English every day.
Learning,/ˈlɜːrnɪŋ/,Việc học,Learning a new language takes time.
Success,/səkˈses/,Thành công,Hard work is the key to success.
Database,/ˈdeɪtəbeɪs/,Cơ sở dữ liệu,The app saves data in a Room database.
Application,/ˌæplɪˈkeɪʃn/,Ứng dụng,This mobile application is built with Kotlin.
Beautiful,/ˈbjuːtɪfl/,Đẹp,Vietnam has many beautiful beaches.
Understand,/ˌʌndərˈstænd/,Hiểu,Do you understand the lesson?
Improve,/ɪmˈpruːv/,Cải thiện,I practice speaking to improve my English.
Knowledge,/ˈnɒlɪdʒ/,Kiến thức,Knowledge is power in learning.
Practice,/ˈpræktɪs/,Thực hành,You should practice every day to improve.
Language,/ˈlæŋɡwɪdʒ/,Ngôn ngữ,English is an international language.
Skill,/skɪl/,Kỹ năng,Communication skill is very important.
Study,/ˈstʌdi/,Học,I study at HCMUTE.
Teacher,/ˈtiːtʃər/,Giáo viên,The teacher explains the lesson clearly.
Student,/ˈstjuːdənt/,Học sinh/Sinh viên,She is a university student.
Computer,/kəmˈpjuːtər/,Máy tính,I use my computer for studying.
Information,/ˌɪnfəˈmeɪʃn/,Thông tin,We need more information about the project.
Important,/ɪmˈpɔːrtənt/,Quan trọng,English is very important in today’s world.
Example,/ɪɡˈzæmpl/,Ví dụ,Can you give me an example?
Listen,/ˈlɪsn/,Nghe,Please listen to the audio carefully.
Speak,/spiːk/,Nói,I want to speak English fluently.
Write,/raɪt/,Viết,Please write your name here.
Read,/riːd/,Đọc,I read English books every night.
